L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.912509381337455e-05,0.0,8.912509381337455e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,2.818382931264453e-05,2.818382931264453e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,1.778279410038922e-05,1.778279410038922e-05,0.0,0.0,0.0,0.0,3343.0
20.0,5.0,1000000.0,1000000.0,7.079457843841379e-05,7.079457843841379e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,7.943282347242815e-05,7.943282347242815e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,8.912509381337455e-05,8.912509381337455e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.01187233627272e-06,0.0,0.0,5.01187233627272e-06,5774.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,0.0,6.30957344480193e-06,5892.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.91250938133745e-06,0.0,0.0,8.91250938133745e-06,6706.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,0.0,1.122018454301963e-05,7369.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,17935.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,0.0,1.778279410038922e-05,66908.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,0.0,2.238721138568339e-05,283273.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,0.0,3.162277660168379e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.011872336272722e-05,0.0,0.0,5.011872336272722e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-05,0.0,0.0,5.62341325190349e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.079457843841379e-05,0.0,0.0,7.079457843841379e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,4403.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,6.30957344480193e-06,0.0,6811.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,7.94328234724281e-06,0.0,12556.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,0.0,1e-05,0.0,7760.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,1.122018454301963e-05,0.0,315643.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.584893192461113e-05,0.0,1.584893192461113e-05,0.0,5215133.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,2.51188643150958e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,3.162277660168379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,3.548133892335754e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.981071705534972e-05,0.0,3.981071705534972e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.466835921509631e-05,0.0,4.466835921509631e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.011872336272722e-05,0.0,5.011872336272722e-05,0.0,10000000.0
