L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,theta_GH_rel,theta_GP_rel,theta_gH_rel,theta_gP_rel
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,9.6e-5,0.0,9.6e-5,0.0,200000.0,5966.905341174575,2924.962633021606,2922.687343913639,419.918639478111,418.82235250707225,5629.140758874042,5873.3185932917195,5269.746692157802,5622.63875398913,2.339345861401541,2.45031845949963,0.07904440857414574,0.08433727118003441
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000102,0.0,0.000102,0.0,200000.0,5657.352200463255,3068.903835719354,3098.029858917667,391.0918636286346,388.634749034749,5377.317264184262,5596.598379239467,5035.684672577663,5379.690582089093,2.2500210234759743,2.3506814114429715,0.0755334148505933,0.08069348755927727
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000108,0.0,0.000108,0.0,200000.0,5272.050270270271,3323.5136524109575,3360.189054054054,360.1457934554735,355.96889501493223,5002.648517609657,5193.868632796334,4687.531569056263,4994.836925892523,2.1070257286338854,2.1954386968372277,0.07031123286829064,0.07492040717966494
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000114,0.0,0.000114,0.0,200000.0,5079.262527695281,3502.5883919809335,3544.540046198086,340.3799847357375,335.45880257965155,4821.8290604596,5003.412445640082,4506.252525383124,4798.705311149133,2.039959029512038,2.123374598321589,0.06759248131820689,0.07197855572826818
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,0.00012,0.0,0.00012,0.0,200000.0,4851.481121137269,3795.8933032355153,3812.1098452386955,314.5908205128205,310.5407174518091,4565.017072839254,4724.172351583598,4273.093928464875,4552.108776505748,1.9406188557099033,2.0134344629133194,0.06409511720246301,0.0682802033671924
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-6,0.0,6.0e-6,0.0,5263.0,51490.994680851065,1198.530612244898,939.3936170212766,0.0,780.1,53065.33782658902,125830.45057033168,49653.20841192075,121267.19664580336,13.317751619465994,32.92870099708818,0.7445379474116834,1.8182939573052228
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,1.2e-5,0.0,1.2e-5,0.0,14573.0,45416.10721247563,902.7143911439115,720.8901884340481,1701.9137001078748,1781.387330316742,39341.35862065917,76484.00636075757,42856.36117462579,79030.64271184598,7.866538722258529,14.74887283441067,0.6424506919463353,1.1844859442308195
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,1.8e-5,0.0,1.8e-5,0.0,105731.0,30658.020797765017,924.0672419407359,806.3632883232449,1444.741704185426,1465.6857203344978,28342.09633390259,41864.22874583078,29910.491550055052,43248.705362567875,6.118843487440178,8.696580446341306,0.44846123058203813,0.6484222421177964
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,2.4e-5,0.0,2.4e-5,0.0,200000.0,22980.87601122282,968.5199611933058,885.188379705401,1086.2150508640764,1100.1085390338962,21063.151373703018,28066.18431467721,21728.990041448185,28708.090991582667,5.431974811557948,7.118829636816685,0.3258325240001331,0.43047973830974434
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,3.0e-5,0.0,3.0e-5,0.0,200000.0,18517.57642269418,1004.7533871721284,937.2743075001077,877.84292582109,887.8520580113501,17124.539236029785,21190.42000364821,17340.992763261103,21340.25702687589,4.935785368113081,6.066244719781409,0.260050436813833,0.3200207161257468
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,3.6e-5,0.0,3.6e-5,0.0,200000.0,15545.32614077069,1064.5229233345344,1008.7161334240981,732.4631824405271,740.7427875608843,14441.858399603201,17298.67793131621,14287.16640568025,17101.43890717076,4.540381111437326,5.430028816651881,0.2142620574522008,0.25646843719814977
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,4.2e-5,0.0,4.2e-5,0.0,200000.0,13393.339186164802,1135.223870350337,1090.189033570702,626.1347385216131,634.5472647028636,12526.480865300167,14691.091195287909,12222.520208442354,14336.198447844616,4.203152532362955,4.939052910117526,0.18330645134035364,0.2150051580961996
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,4.8e-5,0.0,4.8e-5,0.0,200000.0,11741.056604920757,1202.5229298834847,1160.1685379595476,551.9195799075294,555.7100210603799,11085.13055367015,12704.582924611357,10693.3601673474,12340.133428294035,3.9012464192753797,4.485508594735241,0.1603750233278211,0.18507283467423188
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,5.4e-5,0.0,5.4e-5,0.0,200000.0,10505.555793947568,1268.8347296903005,1234.1139173256504,489.0091698740194,491.455900544285,10006.161887913842,11296.67184112608,9632.531650595529,10938.16554379514,3.657494471925823,4.150148410877948,0.1444673245345059,0.1640494979330649
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-5,0.0,6.0e-5,0.0,200000.0,9497.218985908405,1359.7395666901004,1332.0138189901024,437.9423085193308,439.54934078259583,9057.794860765924,10112.768279742295,8487.816399804022,9555.300285940619,3.4175505910393134,3.8358713059830056,0.12730071265001205,0.14331189980027448
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,6.6e-5,0.0,6.6e-5,0.0,200000.0,8689.81116119339,1433.2203088401145,1413.1641518748256,395.83368729884177,397.4760161192478,8359.607692292777,9263.310241059868,7929.674412166854,8861.072579571819,3.227914711463518,3.598204258630995,0.1189313683932966,0.13290030169989586
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,7.2e-5,0.0,7.2e-5,0.0,200000.0,8039.110105514105,1506.6035380966105,1498.1961502803408,360.3039575592067,361.91851472128735,7785.640336615709,8544.457161017213,7250.170572527814,8030.667887803944,3.0637157318178123,3.380546472344461,0.10874137677003631,0.12044737259223696
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,7.8e-5,0.0,7.8e-5,0.0,200000.0,7398.894774483792,1622.3796829971182,1609.3974852924214,331.69276641701686,331.210487065952,7208.29415359484,7852.0371333783005,6718.775259539653,7378.324364735212,2.885041041147015,3.157966028107213,0.10077214685555644,0.11066335408143706
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,8.4e-5,0.0,8.4e-5,0.0,200000.0,6902.816147954237,1735.4972262773722,1731.487977506302,304.9104143612443,301.2288772935499,6722.61319537702,7293.895407183181,6187.743439314983,6792.889602807225,2.7272166787998833,2.974823231343587,0.09280780840332513,0.1018838667374796
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,9.0e-5,0.0,9.0e-5,0.0,200000.0,6502.3630415335465,1865.6279922087242,1860.591463258786,281.8954980172615,279.2383044714397,6300.838361068524,6801.871696611457,5852.756456764775,6404.153301351505,2.585830548506782,2.803758539845338,0.08778393159523018,0.09605353191998657
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,9.6e-5,0.0,9.6e-5,0.0,200000.0,6111.864424987914,1978.933297558358,1985.055109440043,258.8545948147143,257.2691304347826,5955.85073783743,6395.794650639034,5501.295811661684,5996.213632439963,2.466568732554604,2.660157620123176,0.08251338831201717,0.08993596370094646
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000102,0.0,0.000102,0.0,200000.0,5849.491933193206,2092.1560583573687,2124.887291938874,241.98548588275315,241.9875758534411,5672.984311395982,6082.841060912478,5220.657805439438,5681.669462924237,2.3660954580219693,2.546894246315013,0.07830410372407025,0.08521914290966599
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000108,0.0,0.000108,0.0,200000.0,5474.186010410008,2279.1197180977624,2308.4215444556053,226.21612548828125,223.95539515084212,5335.127117695877,5695.572865136333,4891.686604810001,5312.6613319724265,2.2404779953554415,2.3999149762459977,0.07337048237850821,0.07968403105252556
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000114,0.0,0.000114,0.0,200000.0,5218.326556912271,2424.6047323014463,2468.890234865814,208.98353327115427,205.997353287152,5111.305670695837,5432.193901690558,4661.721254446011,5047.065556238544,2.1578562632686675,2.300472610546996,0.0699210948436359,0.07570056652416714
30.0,2.0,5.0,1.0,1.0e6,1.0e6,0.0,0.0,0.00012,0.0,0.00012,0.0,200000.0,5025.531579493207,2594.770613784048,2670.084453970339,194.4660015034511,193.07749543731575,4870.123025237755,5167.419610359396,4472.50032497648,4842.697894279375,2.06549658449215,2.1979820296681636,0.06708341014430211,0.07263567605956432
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,6.0e-7,0.0,6.0e-7,0.0,63206.0,705243.5287878788,4029.2100538599643,3819.3515151515153,8211.643442622952,8757.3625,409927.3444874424,447529.6565529183,421117.85439701023,451819.2740609362,10.517957458440854,11.928213478541275,0.6316635698819759,0.677687937916657
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,1.2e-6,0.0,1.2e-6,0.0,71317.0,400894.81149619614,4236.550424128181,4147.977176669484,6772.515337423313,7257.40234375,228734.84411765594,243370.79420474413,232370.0216124187,246938.84361809527,6.632517407841161,7.236456425189797,0.3485505535629572,0.3704028152001937
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,1.8e-6,0.0,1.8e-6,0.0,200000.0,284751.30484798684,4810.792324306363,4716.7099424815115,6271.351898280803,6302.7532743362835,239071.14829809466,253220.45095371775,244129.87463559254,260647.02280980296,6.43070767577847,6.935613075220693,0.3661899221330054,0.3909649597921246
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,2.4e-6,0.0,2.4e-6,0.0,200000.0,217130.4547328132,5213.148404575557,5119.474164581186,4901.928168787244,4917.764076753696,188455.16679022863,197680.7331085938,186519.8263610417,195587.1780619377,5.745134632236213,6.124444561283299,0.27977668141554884,0.2933779844454022
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,3.0e-6,0.0,3.0e-6,0.0,200000.0,174585.7656952298,5619.073096002335,5565.877192982456,3991.550241470634,3997.6829155060354,150511.86763597518,155809.5515722366,151365.6022460425,157087.0900571968,5.061519106903247,5.310735042414868,0.22704644626858114,0.23562877461858345
